"sample_no","author","year","n","pj_pj","pj_si","si_si","pj_le","si_le","le_le","pjxsi_le","published","place","region","demq_group","demq","demin_group","demin","hdi","si_measure","design","period","mean_age","male_percent","minority_percent"
141,"ESS_al",2010,1728,1,NA,1,0.07,NA,1,NA,1,"France",2,"1","0.88900000000000001","2",7.99,0.903,NA,"C",NA,49.41,0.46,NA
142,"ESS_am",2010,2413,1,NA,1,0.13,NA,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,NA,"C",NA,50,0.44,NA
143,"ESS_an",2010,2714,1,NA,1,0.21,NA,1,NA,1,"Greece",2,"1","0.83399999999999996","2",7.56,0.887,NA,"C",NA,47.6,0.44,NA
144,"ESS_ao",2010,1619,1,NA,1,0.2,NA,1,NA,1,"Croatia",2,"2","0.76300000000000001","2",6.5,0.858,NA,"C",NA,50.9,0.44,NA
145,"ESS_ap",2010,1561,1,NA,1,0.12,NA,1,NA,1,"Hungary",2,"2","0.58499999999999996","2",6.5,0.846,NA,"C",NA,47.61,0.46,NA
146,"ESS_aq",2010,2576,1,NA,1,0.24,NA,1,NA,1,"Ireland",2,"1","0.89800000000000002","1",9,0.945,NA,"C",NA,46.14,0.46,NA
147,"ESS_ar",2010,2269,1,NA,1,0.18,NA,1,NA,1,"Israel",2,"1","0.82099999999999995","2",7.97,0.919,NA,"C",NA,45.45,0.46,NA
148,"ESS_as",2010,1636,1,NA,1,0.13,NA,1,NA,1,"Lithuania",2,"1","0.879","2",7.18,0.875,NA,"C",NA,51.97,0.36,NA
149,"ESS_at",2010,1829,1,NA,1,0.09,NA,1,NA,1,"Netherlands",2,"1","0.93","1",8.88,0.941,NA,"C",NA,50.42,0.46,NA
150,"ESS_au",2010,1548,1,NA,1,0.22,NA,1,NA,1,"Norway",2,"1","0.95599999999999996","1",9.75,0.961,NA,"C",NA,46.38,0.52,NA
151,"ESS_av",2010,1751,1,NA,1,0.1,NA,1,NA,1,"Poland",2,"2","0.71","2",6.8,0.876,NA,"C",NA,44.4,0.48,NA
152,"ESS_aw",2010,2150,1,NA,1,0.1,NA,1,NA,1,"Portugal",2,"1","0.86399999999999999","2",7.82,0.866,NA,"C",NA,53.98,0.4,NA
153,"ESS_ax",2010,2594,1,NA,1,0.21,NA,1,NA,1,"Russia",2,"4","0.26200000000000001","4",3.24,0.822,NA,"C",NA,46.42,0.41,NA
154,"ESS_ay",2010,1497,1,NA,1,0.15,NA,1,NA,1,"Sweden",2,"1","0.94599999999999995","1",9.26,0.947,NA,"C",NA,48.6,0.48,NA
155,"ESS_az",2010,1384,1,NA,1,0.21,NA,1,NA,1,"Slovenia",2,"2","0.83599999999999997","2",7.54,0.918,NA,"C",NA,47.4,0.46,NA
156,"ESS_aaa",2010,1846,1,NA,1,0.02,NA,1,NA,1,"Slovakia",2,"1","0.83599999999999997","2",7.03,0.848,NA,"C",NA,50.58,0.39,NA
157,"ESS_abb",2010,1931,1,NA,1,0.13,NA,1,NA,1,"Ukraine",2,"3","0.54","3",5.57,0.773,NA,"C",NA,50.3,0.37,NA
158,"ScotCET",2014,509,1,-0.15,1,-0.09,0.08,1,0.01,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,1,"R",NA,50.71,0.63,NA
159,"QCET",2010,2650,1,-0.02,1,0.09,0.18,1,0.08,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,1,"R",NA,47.19,0.5,NA
